OBJECTID,ID,VARIATION_NUMBER_CREATED_BY,VARIATION_YEAR,GAZETTAL_NUMBER,GAZETTAL_DATE,DESCRIPTION,LAND_USE_ZONE_CODE_ID,LAND_USE_POLICY_DESC,CURRENT_LIFECYCLE_STAGE,DEGAZETTAL_NUMBER,DIVISION_SHORT,DIVISION_CODE,DIVISION_NAME,DISTRICT_SHORT,DISTRICT_CODE,DISTRICT_NAME,Shape__Area,Shape__Length
1,168,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,FYSH,219,FYSHWICK,CANB,1,CANBERRA CENTRAL,4134.57690429688,296.43919723417
2,177,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,DUNL,578,DUNLOP,BELC,5,BELCONNEN,24924.0324707031,827.469609618621
3,178,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,DUNL,578,DUNLOP,BELC,5,BELCONNEN,33336.9375,934.168269322998
4,60,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,,,,WODE,3,WODEN VALLEY,554909.3203125,3367.49972369697
5,61,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,PARK,211,PARKES,CANB,1,CANBERRA CENTRAL,3039232.22119141,7333.3496673452
6,62,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,,,,CANB,1,CANBERRA CENTRAL,2339273.06201172,8017.55933561473
7,63,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,,,,STRO,10,STROMLO,75954.0366210938,1219.63556403011
8,64,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,,,,GUNG,7,GUNGAHLIN,2211316.01953125,13114.7498643594
9,67,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,,,,JERR,8,JERRABOMBERRA,55680.8347167969,1320.58912693178
10,306,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,OXLE,623,OXLEY,TUGG,6,TUGGERANONG,745996.964111328,8484.43546635597
11,263,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,NGUN,706,NGUNNAWAL,GUNG,7,GUNGAHLIN,37408.4079589844,993.860586332628
12,264,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,NGUN,706,NGUNNAWAL,GUNG,7,GUNGAHLIN,142220.880615234,2992.30248126753
13,179,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,DUNL,578,DUNLOP,BELC,5,BELCONNEN,27977.4807128906,787.195320383221
14,278,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,HUGH,327,HUGHES,WODE,3,WODEN VALLEY,151854.837890625,2009.42629604462
15,281,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,MONA,603,MONASH,TUGG,6,TUGGERANONG,120852.712646484,1486.6302995194
16,282,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,MONA,603,MONASH,TUGG,6,TUGGERANONG,46564.9443359375,906.97550607558
17,299,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,NICH,708,NICHOLLS,GUNG,7,GUNGAHLIN,9974.46435546875,726.88955525604
18,58,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,,,,MAJU,2,MAJURA,41201.138671875,3403.89590143794
19,66,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,PIAL,251,PIALLIGO,MAJU,2,MAJURA,354387.357666016,11699.1507758294
20,5941,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ3,URBAN RESIDENTIAL,GAZETTED,,TURN,105,TURNER,CANB,1,CANBERRA CENTRAL,126911.577880859,2335.40351735171
21,5936,289,08,CN2008-14,2008/09/05 00:00:00+00,,TSZ1,TRANSPORT,GAZETTED,,BELC,559,BELCONNEN,BELC,5,BELCONNEN,3467.66040039063,315.652017441441
22,5938,289,08,CN2008-14,2008/09/05 00:00:00+00,,CZ2,BUSINESS ZONE,GAZETTED,,BELC,559,BELCONNEN,BELC,5,BELCONNEN,5385.10131835938,404.441761252937
23,310,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,PALM,709,PALMERSTON,GUNG,7,GUNGAHLIN,190613.098388672,1875.28240831066
24,311,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,PALM,709,PALMERSTON,GUNG,7,GUNGAHLIN,84980.9736328125,1874.13015182641
25,6194,2009-11,09,NI2009-199,2009/05/01 00:00:00+00,,TSZ1,TRANSPORT,GAZETTED,,GUNG,710,GUNGAHLIN,GUNG,7,GUNGAHLIN,36099.44140625,1515.5876582701
26,267,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,HOLT,568,HOLT,BELC,5,BELCONNEN,18659.9025878906,581.464679845515
27,268,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,HOLT,568,HOLT,BELC,5,BELCONNEN,23464.5610351563,651.200527028576
28,6195,2009-11,09,NI2009-199,2009/05/01 00:00:00+00,,TSZ1,TRANSPORT,GAZETTED,,GUNG,710,GUNGAHLIN,GUNG,7,GUNGAHLIN,30634.5891113281,1106.53516734231
29,6196,2009-11,09,NI2009-199,2009/05/01 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,GUNG,710,GUNGAHLIN,GUNG,7,GUNGAHLIN,1493.37622070313,189.340380042484
30,271,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,MELB,572,MELBA,BELC,5,BELCONNEN,19609.1586914063,674.473857289369
31,6200,2009-11,09,NI2009-199,2009/05/01 00:00:00+00,,TSZ1,TRANSPORT,GAZETTED,,GUNG,710,GUNGAHLIN,GUNG,7,GUNGAHLIN,39033.5869140625,2411.32881688207
32,6203,2009-14,09,NI2009-216,2009/05/15 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,FRAN,713,FRANKLIN,GUNG,7,GUNGAHLIN,2909.20825195313,296.994051110182
33,300,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,NICH,708,NICHOLLS,GUNG,7,GUNGAHLIN,60318.9541015625,1479.2414675472
34,301,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,NICH,708,NICHOLLS,GUNG,7,GUNGAHLIN,36930.1311035156,842.445477943192
35,302,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,NICH,708,NICHOLLS,GUNG,7,GUNGAHLIN,37204.4138183594,1360.68208609739
36,304,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,NICH,708,NICHOLLS,GUNG,7,GUNGAHLIN,56932.9267578125,1493.71099261911
37,305,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,NICH,708,NICHOLLS,GUNG,7,GUNGAHLIN,34689.6750488281,991.187237424005
38,69,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,REDH,221,RED HILL,CANB,1,CANBERRA CENTRAL,1291752.97607422,8141.83943978222
39,70,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,REDH,221,RED HILL,CANB,1,CANBERRA CENTRAL,10324.9196777344,402.775435632556
40,122,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,AMAR,707,AMAROO,GUNG,7,GUNGAHLIN,12681.3022460938,481.457195506653
41,123,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,AMAR,707,AMAROO,GUNG,7,GUNGAHLIN,49137.9553222656,1093.94164970198
42,6205,2009-14,09,NI2009-216,2009/05/15 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,FRAN,713,FRANKLIN,GUNG,7,GUNGAHLIN,6242.61279296875,856.904037514907
43,125,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,AMAR,707,AMAROO,GUNG,7,GUNGAHLIN,8813.53515625,411.231716154279
44,126,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,AMAR,707,AMAROO,GUNG,7,GUNGAHLIN,21040.1916503906,661.621282858555
45,6206,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,CF,COMMUNITY FACILITIES,GAZETTED,,FRAN,713,FRANKLIN,GUNG,7,GUNGAHLIN,67162.2412109375,1064.64557918804
46,6209,2009-14,09,NI2009-216,2009/05/15 00:00:00+00,,RZ3,URBAN RESIDENTIAL,GAZETTED,,FRAN,713,FRANKLIN,GUNG,7,GUNGAHLIN,6257.431640625,318.58316194077
47,316,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,PALM,709,PALMERSTON,GUNG,7,GUNGAHLIN,76697.6457519531,1118.4326416112
48,317,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,PALM,709,PALMERSTON,GUNG,7,GUNGAHLIN,132331.075439453,1500.88653315912
49,318,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,PALM,709,PALMERSTON,GUNG,7,GUNGAHLIN,114950.580810547,1530.49548471094
50,274,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,LYNE,101,LYNEHAM,CANB,1,CANBERRA CENTRAL,87853.1015625,2145.41188872679
51,276,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,HUGH,327,HUGHES,WODE,3,WODEN VALLEY,204399.07421875,2299.55055405686
52,6204,2009-14,09,NI2009-216,2009/05/15 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,FRAN,713,FRANKLIN,GUNG,7,GUNGAHLIN,2189.10498046875,192.969118377657
53,327,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,NICH,708,NICHOLLS,GUNG,7,GUNGAHLIN,15798.7341308594,625.778531460834
54,128,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,CALW,611,CALWELL,TUGG,6,TUGGERANONG,295124.516113281,4737.66111395506
55,130,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,CALW,611,CALWELL,TUGG,6,TUGGERANONG,21796.9602050781,706.496793940039
56,131,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,COND,613,CONDER,TUGG,6,TUGGERANONG,295277.5859375,3636.05643828868
57,319,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,PALM,709,PALMERSTON,GUNG,7,GUNGAHLIN,61420.9816894531,1444.29268741553
58,320,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,PALM,709,PALMERSTON,GUNG,7,GUNGAHLIN,108006.912109375,1245.57379286974
59,322,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,NGUN,706,NGUNNAWAL,GUNG,7,GUNGAHLIN,50325.6787109375,1286.18792386865
60,323,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,NGUN,706,NGUNNAWAL,GUNG,7,GUNGAHLIN,39586.6843261719,1258.46881098649
61,324,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,NGUN,706,NGUNNAWAL,GUNG,7,GUNGAHLIN,7832.66674804688,498.946583534854
62,72,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,WATS,125,WATSON,MAJU,2,MAJURA,31709.3627929688,2240.73919130231
63,73,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,THEO,610,THEODORE,TUGG,6,TUGGERANONG,96060.2016601563,3957.63604288794
64,74,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,TURN,105,TURNER,CANB,1,CANBERRA CENTRAL,52026.3334960938,3474.9006582741
65,75,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,RUSS,122,RUSSELL,CANB,1,CANBERRA CENTRAL,511593.038330078,3097.48092607722
66,76,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,WATS,125,WATSON,CANB,1,CANBERRA CENTRAL,65228.4079589844,4028.79670753625
67,77,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,BRAD,106,BRADDON,CANB,1,CANBERRA CENTRAL,25462.8232421875,1707.02020875416
68,78,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,DEAK,215,DEAKIN,CANB,1,CANBERRA CENTRAL,263462.924072266,7026.37494585505
69,79,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,DEAK,215,DEAKIN,CANB,1,CANBERRA CENTRAL,649964.652099609,4806.98493125012
70,80,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,CITY,108,CITY,CANB,1,CANBERRA CENTRAL,560155.281005859,5688.66048476684
71,2,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,CITY,108,CITY,CANB,1,CANBERRA CENTRAL,56302.5595703125,1220.63536357706
72,3,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,CITY,108,CITY,CANB,1,CANBERRA CENTRAL,23717.7922363281,863.645794349088
73,4,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,CHIF,337,CHIFLEY,WODE,3,WODEN VALLEY,259399.988525391,3364.06595058443
74,5,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,CHIS,609,CHISHOLM,TUGG,6,TUGGERANONG,62757.6091308594,2433.50020719828
75,6239,2009-17,09,NI2009-238,2009/05/22 00:00:00+00,,TSZ1,TRANSPORT,GAZETTED,,CASE,705,CASEY,GUNG,7,GUNGAHLIN,21264.6384277344,1054.57805018068
76,134,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,BANK,614,BANKS,TUGG,6,TUGGERANONG,171292.676025391,2319.12867222145
77,135,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,CALW,611,CALWELL,TUGG,6,TUGGERANONG,206750.424560547,2597.86685124247
78,190,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,GIRA,552,GIRALANG,BELC,5,BELCONNEN,121816.390380859,1510.45704492607
79,192,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,DUNL,578,DUNLOP,BELC,5,BELCONNEN,29408.0961914063,818.607183123907
80,193,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,DUNL,578,DUNLOP,BELC,5,BELCONNEN,35390.9914550781,876.494116112304
81,194,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,DUNL,578,DUNLOP,BELC,5,BELCONNEN,11772.9655761719,510.712902865647
82,81,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,CAMP,110,CAMPBELL,CANB,1,CANBERRA CENTRAL,9165.56884765625,451.315561955425
83,82,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,LYNE,101,LYNEHAM,CANB,1,CANBERRA CENTRAL,183186.925048828,10937.2076395063
84,83,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,YARR,212,YARRALUMLA,CANB,1,CANBERRA CENTRAL,16960.4909667969,617.077484987258
85,84,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,YARR,212,YARRALUMLA,CANB,1,CANBERRA CENTRAL,8050.5673828125,428.525440799458
86,85,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,,,,BELC,5,BELCONNEN,334300.417236328,8634.95724903869
87,86,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,REDH,221,RED HILL,CANB,1,CANBERRA CENTRAL,587.591552734375,107.880827637069
88,87,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,REDH,221,RED HILL,CANB,1,CANBERRA CENTRAL,10534.9597167969,409.58122842362
89,6,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,CAMP,110,CAMPBELL,CANB,1,CANBERRA CENTRAL,3331746.97705078,18393.1269800247
90,7,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,CAMP,110,CAMPBELL,CANB,1,CANBERRA CENTRAL,30012.9184570313,1098.85007429826
91,9,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,KALE,553,KALEEN,BELC,5,BELCONNEN,91364.3815917969,5820.83103620765
92,5944,2008-08,08,NI2008-499,2008/10/31 00:00:00+00,,RZ3,URBAN RESIDENTIAL,GAZETTED,,FRAN,713,FRANKLIN,GUNG,7,GUNGAHLIN,61489.8491210938,1062.31791119756
93,5945,2008-08,08,NI2008-499,2008/10/31 00:00:00+00,,RZ3,URBAN RESIDENTIAL,GAZETTED,,FRAN,713,FRANKLIN,GUNG,7,GUNGAHLIN,116078.689697266,1491.53474959043
94,141,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,CAMP,110,CAMPBELL,CANB,1,CANBERRA CENTRAL,170643.501464844,2235.03537287222
95,142,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,CAMP,110,CAMPBELL,CANB,1,CANBERRA CENTRAL,39837.6704101563,900.372548823382
96,144,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,BONY,619,BONYTHON,TUGG,6,TUGGERANONG,159561.87109375,2131.55128050555
97,145,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,BONY,619,BONYTHON,TUGG,6,TUGGERANONG,6272.81030273438,372.962763097729
98,195,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,DUNL,578,DUNLOP,BELC,5,BELCONNEN,68449.8442382813,1295.5508925698
99,196,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,DUNL,578,DUNLOP,BELC,5,BELCONNEN,64287.8439941406,1285.8015680514
100,215,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,FARR,334,FARRER,WODE,3,WODEN VALLEY,186681.395263672,2411.59083134642
101,217,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,GOWR,604,GOWRIE,TUGG,6,TUGGERANONG,56168.4487304688,1072.66720854202
102,6096,281,08,CN2008-16,2008/12/12 00:00:00+00,,TSZ1,TRANSPORT,GAZETTED,,,,,STRO,10,STROMLO,6053.55615234375,836.454331431492
103,6102,281,08,CN2008-16,2008/12/12 00:00:00+00,,NUZ3,"HILLS, RIDGES AND BUFFER AREAS",GAZETTED,,,,,BELC,5,BELCONNEN,1025585.13208008,4585.41913849021
104,10,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,AINS,104,AINSLIE,CANB,1,CANBERRA CENTRAL,1071.88354492188,132.704134848314
105,11,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,BRAD,106,BRADDON,CANB,1,CANBERRA CENTRAL,52026.3547363281,3474.90119820049
106,12,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,CAPI,213,CAPITAL HILL,CANB,1,CANBERRA CENTRAL,698444.452880859,2963.52595679565
107,13,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,BRUC,555,BRUCE,BELC,5,BELCONNEN,791785.676269531,3741.89795714616
108,14,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,CHAP,444,CHAPMAN,WEST,4,WESTON CREEK,95735.2717285156,1314.25991608906
109,15,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,CHAP,444,CHAPMAN,WEST,4,WESTON CREEK,56968.0622558594,1135.94659055548
110,16,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,BRUC,555,BRUCE,BELC,5,BELCONNEN,63148.5400390625,1107.46201115671
111,17,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,DICK,102,DICKSON,CANB,1,CANBERRA CENTRAL,41949.7351074219,2813.67238070629
112,18,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,GRIF,220,GRIFFITH,CANB,1,CANBERRA CENTRAL,129933.127929688,4243.43468177074
113,5950,2008-08,08,NI2008-499,2008/10/31 00:00:00+00,,TSZ1,TRANSPORT,GAZETTED,,FRAN,713,FRANKLIN,GUNG,7,GUNGAHLIN,21915.2680664063,1568.61763873206
114,147,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,AINS,104,AINSLIE,CANB,1,CANBERRA CENTRAL,23096.2109375,618.792046898849
115,171,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,DUFF,446,DUFFY,WEST,4,WESTON CREEK,79777.6472167969,1342.5563352391
116,5946,2008-08,08,NI2008-499,2008/10/31 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,FRAN,713,FRANKLIN,GUNG,7,GUNGAHLIN,51510.9956054688,3452.81185008269
117,5949,2008-08,08,NI2008-499,2008/10/31 00:00:00+00,,TSZ1,TRANSPORT,GAZETTED,,FRAN,713,FRANKLIN,GUNG,7,GUNGAHLIN,86670.3420410156,4821.19165028859
118,218,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,DUFF,446,DUFFY,WEST,4,WESTON CREEK,161012.150390625,2410.66687478513
119,6103,2009-02,09,NI2009-17,2009/01/16 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,MACG,569,MACGREGOR,BELC,5,BELCONNEN,122280.750732422,1842.51336804587
120,220,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,FISH,443,FISHER,WEST,4,WESTON CREEK,234091.34375,3005.13763259232
121,6104,2009-02,09,NI2009-17,2009/01/15 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,MACG,569,MACGREGOR,BELC,5,BELCONNEN,127822.908447266,2547.60446531407
122,5908,TV2008-01,08,NI2008-201,2008/06/06 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,FORD,716,FORDE,GUNG,7,GUNGAHLIN,6548.67846679688,435.11807343107
123,91,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,,,,MAJU,2,MAJURA,13826918.7966309,26228.2404895151
124,92,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,NICH,708,NICHOLLS,GUNG,7,GUNGAHLIN,4981.599609375,923.213083658885
125,5909,TV2008-01,08,NI2008-201,2008/06/06 00:00:00+00,,RZ3,URBAN RESIDENTIAL,GAZETTED,,FORD,716,FORDE,GUNG,7,GUNGAHLIN,30614.5981445313,737.270098011724
126,19,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,FYSH,219,FYSHWICK,CANB,1,CANBERRA CENTRAL,2466219.25,22507.8914553116
127,20,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,DOWN,124,DOWNER,CANB,1,CANBERRA CENTRAL,56792.2416992188,3417.9531345843
128,21,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,DUFF,446,DUFFY,WEST,4,WESTON CREEK,423864.858642578,3308.13050835777
129,22,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,DES,DESIGNATED,GAZETTED,,GARR,330,GARRAN,WODE,3,WODEN VALLEY,700554.435791016,5278.03501307349
130,175,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,GARR,330,GARRAN,WODE,3,WODEN VALLEY,15300.4936523438,533.169081201895
131,180,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,DUNL,578,DUNLOP,BELC,5,BELCONNEN,28962.9436035156,692.213956692296
132,182,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,DUNL,578,DUNLOP,BELC,5,BELCONNEN,52807.9699707031,1402.33526730463
133,6107,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,MACG,569,MACGREGOR,BELC,5,BELCONNEN,41252.9858398438,907.328481968441
134,6114,2009-02,09,2009-17,2009/01/16 00:00:00+00,,PRZ1,URBAN OPEN SPACE,GAZETTED,,MACG,569,MACGREGOR,BELC,5,BELCONNEN,2291.86889648438,189.678063411637
135,6122,2009-05,09,NI2009-59,2009/02/13 00:00:00+00,,NUZ3,"HILLS, RIDGES AND BUFFER AREAS",GAZETTED,,KALE,553,KALEEN,BELC,5,BELCONNEN,185485.618896484,1761.56727627588
136,226,TP 2008,08,NI2008-27,2008/03/31 00:00:00+00,,RZ1,SUBURBAN,GAZETTED,,NARR,218,NARRABUNDAH,CANB,1,CANBERRA CENTRAL,32156.9116210938,702.391800713327
